2014-06-11 13:25:44,679 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: BdaMusicRecommender:BdaMusicRecommender:0.0.1-SNAPSHOT @ /home/livlab/lecture/BdaMusicRecommender/pom.xml.
2014-06-11 13:25:44,678 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: BdaMusicRecommender:BdaMusicRecommender:0.0.1-SNAPSHOT @ /home/livlab/lecture/BdaMusicRecommender/pom.xml.
2014-06-11 13:25:50,685 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-06-11 13:25:50,716 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/livlab/lecture/BdaMusicRecommender/src/main/resources
2014-06-11 13:25:50,720 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-06-11 13:25:50,720 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/livlab/lecture/BdaMusicRecommender/src/test/resources
2014-06-11 13:25:51,542 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: BdaMusicRecommender:BdaMusicRecommender:0.0.1-SNAPSHOT @ /home/livlab/lecture/BdaMusicRecommender/pom.xml.
2014-06-11 13:25:52,068 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-06-11 13:25:52,069 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/livlab/lecture/BdaMusicRecommender/src/main/resources
2014-06-11 13:25:52,071 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-06-11 13:25:52,071 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/livlab/lecture/BdaMusicRecommender/src/test/resources
2014-06-11 13:25:52,363 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HadoopExamples:HadoopExamples:0.0.1-SNAPSHOT @ /home/livlab/lecture/HadoopExamples/pom.xml.
2014-06-11 13:25:52,927 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-06-11 13:25:52,928 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/livlab/lecture/HadoopExamples/src/main/resources
2014-06-11 13:25:52,929 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-06-11 13:25:52,929 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/livlab/lecture/HadoopExamples/src/test/resources
2014-06-11 13:25:53,295 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: StormExamples:StormExamples:0.0.1-SNAPSHOT @ /home/livlab/lecture/StormExamples/pom.xml.
2014-06-11 13:25:54,505 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-06-11 13:25:54,505 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/livlab/lecture/StormExamples/src/main/resources
2014-06-11 13:25:54,506 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-06-11 13:25:54,507 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/livlab/lecture/StormExamples/src/test/resources
2014-06-11 13:25:54,689 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: BdaMusicRecommender:BdaMusicRecommender:0.0.1-SNAPSHOT @ /home/livlab/lecture/BdaMusicRecommender/pom.xml.
2014-06-11 13:25:55,358 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HadoopExamples:HadoopExamples:0.0.1-SNAPSHOT @ /home/livlab/lecture/HadoopExamples/pom.xml.
2014-06-11 13:25:55,432 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: StormExamples:StormExamples:0.0.1-SNAPSHOT @ /home/livlab/lecture/StormExamples/pom.xml.
2014-06-11 13:25:55,753 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: BdaMusicRecommender:BdaMusicRecommender:0.0.1-SNAPSHOT @ /home/livlab/lecture/BdaMusicRecommender/pom.xml.
2014-06-11 13:25:55,972 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-06-11 13:25:55,973 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/livlab/lecture/HadoopExamples/src/main/resources
2014-06-11 13:25:55,974 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-06-11 13:25:55,974 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/livlab/lecture/HadoopExamples/src/test/resources
2014-06-11 13:25:56,487 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-06-11 13:25:56,487 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/livlab/lecture/StormExamples/src/main/resources
2014-06-11 13:25:56,488 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
